vol_requests,category_desc,subcategory,Latitude,Longitude
10,Strengthening Communities,General Support,40.6822886,-73.9790429
99,Strengthening Communities,Fundraising,40.720942,-73.997929
99,Strengthening Communities,Fundraising,40.720942,-73.997929
1,Helping Neighbors in Need,Helping Neighbors in Need,40.7484356,-73.9940338
100,Helping Neighbors in Need,Senior & Patient Care,40.78623,-73.9756746
2,Helping Neighbors in Need,ESL & Adult Literacy,40.714459,-73.999347
100,Strengthening Communities,General Support,40.8104656,-73.9505422
5,Helping Neighbors in Need,ESL & Adult Literacy,40.72631,-74.00749
3,Strengthening Communities,General Support,40.7978043,-73.9675844
100,Helping Neighbors in Need,Senior & Patient Care,40.5798314,-73.9987552
1,Strengthening Communities,Event Support,40.713001,-74.004181
25,Emergency Preparedness,Emergency Preparedness,40.713265,-74.007063
15,Education,Academic Tutoring,40.70848,-73.800065
50,Strengthening Communities,Event Support,40.749193,-73.889702
30,Environment,Environment,40.7504407,-73.8199665
15,Strengthening Communities,Manual Labor & Environment,40.748715,-73.984806
3,Education,Education,40.7701875,-73.9596759
1,Helping Neighbors in Need,Professional Skills,40.70447,-74.009406
2,Helping Neighbors in Need,Senior & Patient Care,40.5798314,-73.9987552
1,Strengthening Communities,Admin & Office Support,40.706045,-74.013096
1,Strengthening Communities,Admin & Office Support,40.750131,-73.981247
15,Strengthening Communities,General Support,40.739861,-73.9851916
2,Strengthening Communities,Professional Skills,40.78623,-73.9756746
20,Strengthening Communities,Manual Labor & Environment,40.706251,-74.012952
90,Education,Academic Tutoring,40.752685,-73.9734419
20,Health,Health,40.7313422,-73.9887282
2,Health,Health,40.7920271,-73.9445046
99,Strengthening Communities,Event Support,40.720942,-73.997929
20,Environment,Environment,40.6802278,-74.0004106
4,Education,Youth Mentoring,40.733935,-74.0049302
10,Health,Health,40.811101,-73.964168
6,Education,Academic Tutoring,40.8104656,-73.9505422
100,Education,Education,40.717363,-74.006897
2,Strengthening Communities,Event Support,40.757636,-73.985804
1,Strengthening Communities,General Support,40.713001,-74.004181
1,Strengthening Communities,Manual Labor & Environment,40.733935,-74.0049302
2,Strengthening Communities,Youth Mentoring,40.690765,-73.971376
15,Strengthening Communities,General Support,40.7313422,-73.9887282
250,Emergency Preparedness,Emergency Preparedness,40.5992482,-73.8180932
5,Education,Academic Tutoring,40.6927173,-73.9916465
2,Education,Education,40.754116,-73.9903452
10,Education,Education,40.749794,-73.991486
30,Helping Neighbors in Need,Helping Neighbors in Need,40.7946297,-73.9416057
50,Education,Admin & Office Support,40.8458471,-73.8411421
200,Health,Health,40.747629,-73.99306
150,Education,Education,40.739861,-73.9851916
1000,Emergency Preparedness,Emergency Preparedness,40.764817,-73.958168
17,Strengthening Communities,Fundraising,40.7340142,-73.7214195
1,Helping Neighbors in Need,Senior & Patient Care,40.78623,-73.9756746
2,Strengthening Communities,General Support,40.7484356,-73.9940338
10,Helping Neighbors in Need,Food Security,40.7484356,-73.9940338
2,Health,Health,40.7454894,-73.9797093
1,Strengthening Communities,Fundraising,40.7141085,-74.0083369
200,Strengthening Communities,Event Support,40.734163,-73.988627
2,Strengthening Communities,Professional Skills,40.739861,-73.9851916
99,Strengthening Communities,Event Support,40.720942,-73.997929
15,Education,Education,40.811101,-73.964168
2,Health,Health,40.7920271,-73.9445046
100,Strengthening Communities,Manual Labor & Environment,40.895865,-73.892294
40,Strengthening Communities,Event Support,40.729409,-73.997817
1,Strengthening Communities,General Support,40.740887,-73.9995464
10,Strengthening Communities,Event Support,40.702593,-74.011671
99,Strengthening Communities,Professional Skills,40.720942,-73.997929
2,Strengthening Communities,General Support,40.785298,-73.957263
1,Health,Health,40.811972,-73.914275
3,Strengthening Communities,Senior & Patient Care,40.7484356,-73.9940338
100,Strengthening Communities,General Support,40.7141085,-74.0083369
3,Helping Neighbors in Need,Professional Skills,40.7484356,-73.9940338
10,Helping Neighbors in Need,Helping Neighbors in Need,40.707116,-74.007329
2,Helping Neighbors in Need,Senior & Patient Care,40.7484356,-73.9940338
1,Strengthening Communities,Professional Skills,40.674103,-73.929644
99,Strengthening Communities,Fundraising,40.720942,-73.997929
25,Environment,Environment,40.6802278,-74.0004106
20,Strengthening Communities,General Support,40.7454894,-73.9797093
10,Strengthening Communities,General Support,40.754116,-73.9903452
5,Helping Neighbors in Need,Food Security,40.7920271,-73.9445046
10,Strengthening Communities,General Support,40.707671,-74.005764
10,Strengthening Communities,General Support,40.754801,-73.832822
5,Helping Neighbors in Need,Academic Tutoring,40.6326566,-73.9966075
99,Strengthening Communities,General Support,40.720942,-73.997929
50,Strengthening Communities,General Support,40.884999,-73.892977
100,Health,Health,40.645985,-74.010248
30,Emergency Preparedness,Emergency Preparedness,40.7701875,-73.9596759
1,Health,Health,40.663701,-73.936049
100,Strengthening Communities,General Support,40.746816,-73.98364
5,Strengthening Communities,Professional Skills,40.7978043,-73.9675844
4,Helping Neighbors in Need,Helping Neighbors in Need,40.746817,-73.993655
20,Strengthening Communities,Manual Labor & Environment,40.673717,-73.983424
30,Environment,Environment,40.7625484,-73.9137114
1,Helping Neighbors in Need,Food Security,40.576239,-73.988218
20,Education,Youth Mentoring,40.739861,-73.9851916
500,Health,Health,40.7484996,-73.9388176
5,Strengthening Communities,Senior & Patient Care,40.7978043,-73.9675844
50,Education,Event Support,40.688834,-73.976905
20,Helping Neighbors in Need,Helping Neighbors in Need,40.707116,-74.007329
5,Strengthening Communities,General Support,40.754116,-73.9903452
100,Education,Academic Tutoring,40.7313422,-73.9887282
2,Helping Neighbors in Need,Youth Mentoring,40.754158,-73.986905
99,Strengthening Communities,Professional Skills,40.720942,-73.997929
100,Environment,Environment,40.6822886,-73.9790429
50,Strengthening Communities,Manual Labor & Environment,40.884999,-73.892977
1000,Strengthening Communities,General Support,40.7484356,-73.9940338
4,Strengthening Communities,Fundraising,40.706045,-74.013096
1,Health,Health,40.746817,-73.993655
15,Strengthening Communities,General Support,40.736274,-73.97468
5,Strengthening Communities,General Support,40.7454894,-73.9797093
99,Strengthening Communities,General Support,40.720942,-73.997929
30,Education,Youth Mentoring,40.819196,-73.950221
1,Health,Health,40.739861,-73.9851916
8,Strengthening Communities,Manual Labor & Environment,40.710954,-73.835147
4,Strengthening Communities,General Support,40.7594193,-73.9892203
2,Strengthening Communities,Youth Mentoring,40.829721,-73.9086231
5,Helping Neighbors in Need,Food Security,40.739851,-74.002439
5,Strengthening Communities,Youth Mentoring,40.656068,-73.907245
50,Strengthening Communities,General Support,40.740887,-73.9995464
4,Strengthening Communities,Food Security,40.754158,-73.986905
1,Strengthening Communities,Professional Skills,40.713001,-74.004181
1,Helping Neighbors in Need,ESL & Adult Literacy,40.746817,-73.993655
99,Strengthening Communities,General Support,40.720942,-73.997929
5,Strengthening Communities,Youth Mentoring,40.718943,-73.986122
99,Strengthening Communities,Event Support,40.720942,-73.997929
20,Strengthening Communities,Manual Labor & Environment,40.710954,-73.835147
1,Helping Neighbors in Need,ESL & Adult Literacy,40.746817,-73.993655
20,Strengthening Communities,General Support,40.7068045,-73.8315833
3,Helping Neighbors in Need,Food Security,40.803951,-73.963139
99,Strengthening Communities,Event Support,40.720942,-73.997929
20,Strengthening Communities,General Support,40.7633948,-73.9859762
25,Education,Academic Tutoring,40.7018055,-74.0132736
1,Strengthening Communities,Fundraising,40.868553,-73.92383
10,Strengthening Communities,Manual Labor & Environment,40.5992482,-73.8180932
1,Helping Neighbors in Need,Helping Neighbors in Need,40.706045,-74.013096
1,Strengthening Communities,Youth Mentoring,40.755119,-73.987638
2,Health,Health,40.7920271,-73.9445046
1,Strengthening Communities,Event Support,40.713001,-74.004181
600,Education,Youth Mentoring,40.751728,-73.980084
25,Helping Neighbors in Need,Helping Neighbors in Need,40.7920271,-73.9445046
50,Strengthening Communities,Manual Labor & Environment,40.884999,-73.892977
20,Strengthening Communities,General Support,40.8030637,-73.952906
15,Strengthening Communities,Admin & Office Support,40.739861,-73.9851916
25,Education,Academic Tutoring,40.7978043,-73.9675844
10,Education,Academic Tutoring,40.760205,-73.937473
99,Strengthening Communities,Event Support,40.720942,-73.997929
15,Helping Neighbors in Need,Helping Neighbors in Need,40.70627,-74.012909
3,Education,Manual Labor & Environment,40.7484356,-73.9940338
20,Strengthening Communities,General Support,40.624126,-73.965061
25,Helping Neighbors in Need,Helping Neighbors in Need,40.739861,-73.9851916
50,Strengthening Communities,Manual Labor & Environment,40.7978043,-73.9675844
15,Strengthening Communities,General Support,40.6723033,-73.8948166
2700,Helping Neighbors in Need,Senior & Patient Care,40.551906,-74.1506664
2,Education,Youth Mentoring,40.8104656,-73.9505422
20,Environment,Environment,40.7141085,-74.0083369
2,Education,ESL & Adult Literacy,40.8154623,-73.9088516
4,Health,Health,40.744241,-73.981285
10,Strengthening Communities,Admin & Office Support,40.853537,-73.908741
1,Helping Neighbors in Need,Food Security,40.705689,-74.011455
10,Helping Neighbors in Need,Academic Tutoring,40.63238,-74.021444
5,Strengthening Communities,Fundraising,40.7978043,-73.9675844
75,Environment,Environment,40.850669,-73.88242
100,Helping Neighbors in Need,Senior & Patient Care,40.5798314,-73.9987552
100,Education,Youth Mentoring,40.7594193,-73.9892203
1,Strengthening Communities,Academic Tutoring,40.723624,-73.99829
2,Health,Health,40.707116,-74.007329
1,Emergency Preparedness,Emergency Preparedness,40.753612,-73.992417
30,Strengthening Communities,Manual Labor & Environment,40.8505476,-73.933841
20,Helping Neighbors in Need,Food Security,40.739861,-73.9851916
6,Environment,Environment,40.747993,-73.888827
20,Strengthening Communities,General Support,40.846391,-73.940099
5,Strengthening Communities,General Support,40.7978043,-73.9675844
70,Health,Health,40.7454894,-73.9797093
1,Helping Neighbors in Need,Senior & Patient Care,40.613906,-73.986151
20,Strengthening Communities,Manual Labor & Environment,40.7769111,-73.9812146
5,Strengthening Communities,Event Support,40.7484356,-73.9940338
5,Strengthening Communities,General Support,40.7978043,-73.9675844
500,Helping Neighbors in Need,Senior & Patient Care,40.78623,-73.9756746
4,Education,Education,40.746817,-73.993655
2,Helping Neighbors in Need,Helping Neighbors in Need,40.678253,-73.910178
120,Strengthening Communities,General Support,40.707303,-74.007574
50,Strengthening Communities,Event Support,40.787556,-73.971407
2,Health,Health,40.78623,-73.9756746
10,Education,Admin & Office Support,40.7170829,-73.9893099
25,Strengthening Communities,Youth Mentoring,40.739861,-73.9851916
85,Education,Education,40.670349,-73.961695
20,Strengthening Communities,General Support,40.7270551,-73.9488869
25,Strengthening Communities,General Support,40.860224,-73.903924
10,Education,Youth Mentoring,40.695893,-73.933281
20,Helping Neighbors in Need,Helping Neighbors in Need,43.152284,-75.2151128
40,Strengthening Communities,Manual Labor & Environment,40.7484356,-73.9940338
20,Strengthening Communities,Manual Labor & Environment,40.884999,-73.892977
1,Helping Neighbors in Need,Food Security,40.7583228,-73.9679848
20,Education,ESL & Adult Literacy,40.7920271,-73.9445046
5,Education,Academic Tutoring,40.754801,-73.832822
3,Helping Neighbors in Need,Food Security,40.573144,-74.001587
10,Strengthening Communities,Manual Labor & Environment,40.71187,-74.00641
50,Strengthening Communities,Manual Labor & Environment,40.7484356,-73.9940338
50,Education,Education,40.7170829,-73.9893099
20,Helping Neighbors in Need,Professional Skills,40.6927173,-73.9916465
1,Strengthening Communities,General Support,40.7701875,-73.9596759
500,Education,Youth Mentoring,40.70618,-74.01125
20,Strengthening Communities,Event Support,40.710954,-73.835147
100,Education,Academic Tutoring,40.6789418,-73.9203592
2,Strengthening Communities,Youth Mentoring,40.768955,-73.928269
5,Strengthening Communities,Admin & Office Support,40.7978043,-73.9675844
20,Education,Education,40.727194,-73.822075
99,Strengthening Communities,Professional Skills,40.720942,-73.997929
5,Strengthening Communities,Professional Skills,40.7978043,-73.9675844
99,Strengthening Communities,General Support,40.720942,-73.997929
99,Strengthening Communities,General Support,40.720942,-73.997929
5,Strengthening Communities,Event Support,40.713236,-73.735594
15,Health,Health,40.7484356,-73.9940338
30,Education,Professional Skills,40.7083766,-74.0134033
3,Environment,Environment,40.854783,-73.927909
10,Education,Education,40.811101,-73.964168
20,Strengthening Communities,Manual Labor & Environment,40.710954,-73.835147
100,Strengthening Communities,Manual Labor & Environment,40.895865,-73.892294
10,Health,Health,40.811101,-73.964168
100,Emergency Preparedness,Emergency Preparedness,40.7484356,-73.9940338
30,Emergency Preparedness,Emergency Preparedness,40.610245,-74.003155
500,Strengthening Communities,Event Support,42.8547788,-78.8087449
10,Education,Academic Tutoring,40.819196,-73.950221
15,Health,Health,40.739861,-73.9851916
2,Helping Neighbors in Need,ESL & Adult Literacy,40.63238,-74.021444
5,Helping Neighbors in Need,Helping Neighbors in Need,40.713732,-73.826122
5,Strengthening Communities,General Support,40.762131,-73.97036
30,Environment,Environment,40.713797,-74.005494
500,Emergency Preparedness,Emergency Preparedness,40.7946297,-73.9416057
5,Education,Education,40.8458471,-73.8411421
2,Strengthening Communities,General Support,40.78623,-73.9756746
10,Helping Neighbors in Need,Senior & Patient Care,40.72821,-73.7487166
100,Strengthening Communities,Manual Labor & Environment,40.895865,-73.892294
99,Strengthening Communities,General Support,40.720942,-73.997929
